DesignIndex,RadiusSetId,RadiusSet_um,TargetFillFactor,MinDistanceFactor,Seed,IslandCount,ActualFillFactor,TopKPeakRatio,PeakBackgroundRatioPenalty,HazeRisk,HazeRiskPenalty,Objective
362,4,[0.6 1 1.4 1.8],0.3,1,2,507,0.26127685546875,0.626092091130425,0.148537416823607,0.163546104453097,0.00330777162147231,0.694619045126049
361,4,[0.6 1 1.4 1.8],0.3,1,1,522,0.2752685546875,0.629021579617419,0.142880209972567,0.162555176725139,0.0031947706506329,0.695003506360982
391,4,[0.6 1 1.4 1.8],0.35,1,1,522,0.2752685546875,0.629021579617419,0.142880209972567,0.162555176725139,0.0031947706506329,0.695003506360982
421,4,[0.6 1 1.4 1.8],0.4,1,1,524,0.27599853515625,0.629021579617419,0.142880209972567,0.162555176725139,0.0031947706506329,0.695003506360982
451,4,[0.6 1 1.4 1.8],0.45,1,1,525,0.27660888671875,0.629021579617419,0.142880209972567,0.162555176725139,0.0031947706506329,0.695003506360982
489,5,[0.8 1 1.4 1.8 2.2],0.3,1,9,337,0.2516064453125,0.631469898021381,0.114521634695337,0.174628320972301,0.00470533527892231,0.695079146559361
519,5,[0.8 1 1.4 1.8 2.2],0.35,1,9,337,0.2516064453125,0.631469898021381,0.114521634695337,0.174628320972301,0.00470533527892231,0.695079146559361
549,5,[0.8 1 1.4 1.8 2.2],0.4,1,9,338,0.25311279296875,0.631469898021381,0.114521634695337,0.174628320972301,0.00470533527892231,0.695079146559361
579,5,[0.8 1 1.4 1.8 2.2],0.45,1,9,339,0.25372314453125,0.631469898021381,0.114521634695337,0.174628320972301,0.00470533527892231,0.695079146559361
242,3,[0.8 1.2 1.6 2],0.3,1,2,408,0.27244384765625,0.628795231646374,0.130568674362712,0.171122688115516,0.00423668383857885,0.695677686866217
272,3,[0.8 1.2 1.6 2],0.35,1,2,408,0.27244384765625,0.628795231646374,0.130568674362712,0.171122688115516,0.00423668383857885,0.695677686866217
